requirement_text,primary_service,service_category,complexity_level,deployment_scenario,keywords_extracted,reference_url
Integrate identity management with external directories and single sign-on providers. This requirement comes from a migration environment with low complexity and focuses on encrypt-centric operations.,AWS IAM,Security,Low,Migration,encrypt,https://aws.amazon.com/iam/
Store key-value and document data for high-traffic applications with single-digit millisecond latency. This requirement comes from a analytics pipeline enviromnent with high complexity and focuses on key-value-centric operations.,Amazon DynamoDB,Database,High,Analytics Pipeline,key-value,https://aws.amazon.com/dynamodb/
Run containerised applications without managing server infrastructure or clusters. This requirement comes from a migration environment with high complexity and focuses on microservices-centric operations.,AWS Fargate,Compute,High,Migration,microservices,https://aws.amazon.com/fargate/
Protect web applications from common exploits such as SQL injection and cross-site scripting. This requirement comes from a migration environment with high complexity and focuses on firewall-centric operations.,AWS WAF,Security,High,Migration,firewall,https://aws.amazon.com/waf/
Centralise and automate backup policies across multiple AWS data stores. This requirement comes from a analytics pipeline environment with high complexity and focuses on backup-centric operations.,AWS Backup,Storage,High,Analytics Pipeline,backup,https://aws.amazon.com/backup/
Offload read traffic from primary databases by storing computed or static results in cache. This requirement comes from a migration environment with high complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,High,Migration,nosql,https://aws.amazon.com/elasticache/
Protect web applications from common exploits such as SQL injection and cross-site scripting. This requirement comes from a migration environment with medium complexity and focuses on access-centric operations.,AWS WAF,Security,Medium,Migration,access,https://aws.amazon.com/waf/
Centralise key management for compliance-sensitive workloads in the cloud. This requirement comes from a startup environment with medium complexity and focuses on secrets-centric operations.,AWS KMS,Security,Medium,Startup,secrets,https://aws.amazon.com/kms/
Manage serverless NoSQL databases that scale automatically with request volume. This requirement comes from a startup environment with low complexity and focuses on nosql-centric operations.,Amazon DynamoDB,Database,Low,Startup,nosql,https://aws.amazon.com/dynamodb/
"Provide durable, cost-optimised object storage for application data and backups. This requirement comes from a migration environment with high complexity and focuses on archive-centric operations.",Amazon S3,Storage,High,Migration,archive,https://aws.amazon.com/s3/
Scale container workloads on demand based on incoming traffic patterns. This requirement comes from a multi-region environment with medium complexity and focuses on run-centric operations.,AWS Fargate,Compute,Medium,Multi-Region,run,https://aws.amazon.com/fargate/
Deliver static and dynamic content to users globally with reduced latency through edge locations. This requirement comes from a multi-region environment with high complexity and focuses on latency-centric operations.,Amazon CloudFront,Networking,High,Multi-Region,latency,https://aws.amazon.com/cloudfront/
Run application code in response to events without managing servers. This requirement comes from a enterprise environment with low complexity and focuses on vm-centric operations.,AWS Lambda,Compute,Low,Enterprise,vm,https://aws.amazon.com/lambda/
Meet compliance requirements through scheduled backups and retention rules. This requirement comes from a startup environment with low complexity and focuses on object-centric operations.,AWS Backup,Storage,Low,Startup,object,https://aws.amazon.com/backup/
Protect web applications by integrating with security services at the content delivery edge. This requirement comes from a analytics pipeline environment with low complexity and focuses on latency-centric operations.,Amazon CloudFront,Networking,Low,Analytics Pipeline,latency,https://aws.amazon.com/cloudfront/
"Define fine-grained access control policies for users, roles, and services. This requirement comes from a iot system environment with high complexity and focuses on encrypt-centric operations.",AWS IAM,Security,High,IoT System,encrypt,https://aws.amazon.com/iam/
Distribute incoming client traffic across multiple healthy application instances. This requirement comes from a iot system environment with low complexity and focuses on routing-centric operations.,Elastic Load Balancing,Networking,Low,IoT System,routing,https://aws.amazon.com/elasticloadbalancing/
Support low-latency data access using managed Redis or Memcached clusters. This requirement comes from a enterprise environment with medium complexity and focuses on nosql-centric operations.,Amazon ElastiCache,Database,Medium,Enterprise,nosql,https://aws.amazon.com/elasticache/
Accelerate media streaming and software distribution workloads worldwide. This requirement comes from a startup environment with high complexity and focuses on dns-centric operations.,Amazon CloudFront,Networking,High,Startup,dns,https://aws.amazon.com/cloudfront/
"Control access to encryption keys used by storage, databases, and applications. This requirement comes from a multi-region environment with high complexity and focuses on secrets-centric operations.",AWS KMS,Security,High,Multi-Region,secrets,https://aws.amazon.com/kms/
